staging_id,investor,invested_amount,invested_equity,invested_debt
1,Vineeta,25.0,5.33,
1,Aman,25.0,5.33,
1,Ashneer Grover,25.0,5.33,
2,Vineeta,20.0,25.0,
2,Ashneer Grover,20.0,25.0,
3,Vineeta,12.5,15.0,
3,Anupam,12.5,15.0,
4,Ashneer Grover,70.0,2.75,
8,Aman,75.0,6.0,
9,Vineeta,20.0,15.0,30.0
10,Vineeta,25.0,12.5,
10,Anupam,25.0,12.5,
11,Namita,28.3,2.81,
11,Vineeta,28.3,2.81,
12,Namita,37.5,3.75,
12,Aman,37.5,3.75,
13,Anupam,50.0,0.75,
13,Aman,50.0,0.75,
16,Namita,20.0,3.0,
16,Vineeta,20.0,3.0,
16,Anupam,20.0,3.0,
16,Aman,20.0,3.0,
16,Ashneer Grover,20.0,3.0,
17,Namita,50.0,20.0,
19,Aman,50.0,2.0,
19,Ashneer Grover,50.0,2.0,
21,Anupam,2.5,5.0,
21,Aman,2.5,5.0,
23,Aman,25.0,1.25,
23,Ashneer Grover,25.0,1.25,
24,Anupam,28.0,16.66,
24,Peyush,28.0,16.66,
25,Ashneer Grover,30.0,6.0,
26,Namita,25.0,3.5,
26,Aman,25.0,3.5,
27,Aman,25.0,5.0,
27,Peyush,25.0,5.0,
29,Namita,8.33,6.66,
29,Aman,8.33,6.66,
29,Peyush,8.33,6.66,
30,Anupam,10.0,6.66,
30,Aman,10.0,6.66,
30,Peyush,10.0,6.66,
31,Aman,10.0,1.0,
31,Peyush,10.0,1.0,
31,Ashneer Grover,10.0,1.0,
33,Anupam,50.0,15.0,
34,Namita,15.0,10.0,
34,Aman,15.0,10.0,
35,Namita,75.0,15.0,
37,Anupam,13.33,8.0,
37,Aman,13.33,8.0,
37,Peyush,13.33,8.0,
38,Namita,35.0,1.0,
38,Anupam,35.0,1.0,
38,Peyush,35.0,1.0,
39,Anupam,25.0,10.0,
39,Peyush,25.0,10.0,
40,Anupam,25.0,2.5,
40,Aman,25.0,2.5,
40,Peyush,25.0,2.5,
40,Ashneer Grover,25.0,2.5,
41,Namita,50.0,3.0,
41,Aman,50.0,3.0,
44,Aman,100.0,40.0,
45,Peyush,25.0,25.0,25.0
46,Namita,1.6e-05,1.666,
46,Anupam,1.6e-05,1.666,
46,Aman,1.6e-05,1.666,
47,Anupam,25.0,1.75,15.0
47,Ashneer Grover,25.0,1.75,15.0
49,Namita,37.5,7.5,
49,Aman,37.5,7.5,
50,Anupam,22.5,6.0,
50,Aman,22.5,6.0,
51,Namita,10.0,5.0,
51,Anupam,10.0,5.0,
51,Aman,10.0,5.0,
