deal_id,staging_id,investor,invested_amount,invested_equity,invested_debt
1,1,Vineeta,25,5.33,
2,1,Aman,25,5.33,
3,1,Ashneer Grover,25,5.33,
4,2,Vineeta,20,25,
5,2,Ashneer Grover,20,25,
6,3,Vineeta,12.5,15,
7,3,Anupam,12.5,15,
8,4,Ashneer Grover,70,2.75,
9,8,Aman,75,6,
10,9,Vineeta,20,15,30
11,10,Vineeta,25,12.5,
12,10,Anupam,25,12.5,
13,11,Namita,28.3,2.81,
14,11,Vineeta,28.3,2.81,
15,12,Namita,37.5,3.75,
16,12,Aman,37.5,3.75,
17,13,Anupam,50,0.75,
18,13,Aman,50,0.75,
19,16,Namita,20,3,
20,16,Vineeta,20,3,
21,16,Anupam,20,3,
22,16,Aman,20,3,
23,16,Ashneer Grover,20,3,
24,17,Namita,50,20,
25,19,Aman,50,2,
26,19,Ashneer Grover,50,2,
27,21,Anupam,2.5,5,
28,21,Aman,2.5,5,
29,23,Aman,25,1.25,
30,23,Ashneer Grover,25,1.25,
31,24,Anupam,28,16.66,
32,24,Peyush,28,16.66,
33,25,Ashneer Grover,30,6,
34,26,Namita,25,3.5,
35,26,Aman,25,3.5,
36,27,Aman,25,5,
37,27,Peyush,25,5,
38,29,Namita,8.33,6.66,
39,29,Aman,8.33,6.66,
40,29,Peyush,8.33,6.66,
41,30,Anupam,10,6.66,
42,30,Aman,10,6.66,
43,30,Peyush,10,6.66,
44,31,Aman,10,1,
45,31,Peyush,10,1,
46,31,Ashneer Grover,10,1,
47,33,Anupam,50,15,
48,34,Namita,15,10,
49,34,Aman,15,10,
50,35,Namita,75,15,
51,37,Anupam,13.33,8,
52,37,Aman,13.33,8,
53,37,Peyush,13.33,8,
54,38,Namita,35,1,
55,38,Anupam,35,1,
56,38,Peyush,35,1,
57,39,Anupam,25,10,
58,39,Peyush,25,10,
59,40,Anupam,25,2.5,
60,40,Aman,25,2.5,
61,40,Peyush,25,2.5,
62,40,Ashneer Grover,25,2.5,
63,41,Namita,50,3,
64,41,Aman,50,3,
65,44,Aman,100,40,
66,45,Peyush,25,25,25
67,46,Namita,1.60E-05,1.666,
68,46,Anupam,1.60E-05,1.666,
69,46,Aman,1.60E-05,1.666,
70,47,Anupam,25,1.75,15
71,47,Ashneer Grover,25,1.75,15
72,49,Namita,37.5,7.5,
73,49,Aman,37.5,7.5,
74,50,Anupam,22.5,6,
75,50,Aman,22.5,6,
76,51,Namita,10,5,
77,51,Anupam,10,5,
78,51,Aman,10,5,
79,51,Peyush,10,5,
80,51,Ashneer Grover,10,5,
81,52,Namita,50,5,
82,52,Peyush,50,5,
83,52,Ashneer Grover,50,5,
84,54,Peyush,80,20,
85,57,Ashneer Grover,1,1,99
86,60,Namita,15,2.5,
87,60,Aman,15,2.5,
88,60,Peyush,15,2.5,
89,60,Ashneer Grover,15,2.5,
90,63,Peyush,40,3,25
91,65,Namita,20,2,
