staging_id,company,season,episode_number,pitch_number,season_start,season_end,original_air_date,episode_title,anchor,sector,business_description,company_website,started_in,founder_count,male_presenters,female_presenters,transgender_presenters,couple_presenters,pitchers_average_age,pitchers_city,pitchers_state,yearly_revenue,monthly_sales,gross_margin,net_margin,ebitda,cash_burn,skus,has_patents,bootstrapped,part_of_match_off,asked_amount,equity_asked,valuation_requested,received_offer,accepted_offer,invested_amount,equity_final,total_deal_debt,deal_valuation,number_of_sharks_in_deal,deal_has_conditions,royalty_percentage,royalty_recouped_amount,advisory_shares_equity,namita_present,vineeta_present,anupam_present,aman_present,peyush_present,ritesh_present,amit_present,guest_present
1,BluePineFoods,Season 1,1,1,2021-12-20,2022-02-04,2021-12-20,Badlegi Business Ki Tasveer,Rannvijay Singh,Food and Beverage,Frozen Momos,https://bluepinefoods.com/,2016,3,2.0,1.0,,0,,Delhi,Delhi,95.0,8.0,,,,,,0,0,0,50.0,5.0,1000.0,1,1,75.0,16.0,,469.0,3.0,0,,,,1,1,1,1,0,0,0,1
2,BoozScooters,Season 1,1,2,2021-12-20,2022-02-04,2021-12-20,Badlegi Business Ki Tasveer,Rannvijay Singh,Vehicles/Electrical Vehicles,Renting e-bike for mobility in private spaces,https://www.boozup.net/,2017,1,1.0,,,0,,Ahmedabad,Gujarat,4.0,0.4,,,,,,0,0,0,40.0,15.0,267.0,1,1,40.0,50.0,,80.0,2.0,0,,,,1,1,1,1,0,0,0,1
3,HeartUpMySleeves,Season 1,1,3,2021-12-20,2022-02-04,2021-12-20,Badlegi Business Ki Tasveer,Rannvijay Singh,Beauty/Fashion,Detachable Sleeves,https://heartupmysleeves.com/,2021,1,,1.0,,0,,Delhi,Delhi,,2.0,,,,,,0,0,0,25.0,10.0,250.0,1,1,25.0,30.0,,83.0,2.0,0,,,,1,1,1,1,0,0,0,1
4,TagzFoods,Season 1,2,4,2021-12-20,2022-02-04,2021-12-21,"Insaan, Ideas Aur Sapne",Rannvijay Singh,Food and Beverage,Healthy Potato Chips Snacks,https://tagzfoods.com/,2019,2,2.0,,,0,,Bangalore,Karnataka,700.0,,48.0,,,,,0,0,0,70.0,1.0,7000.0,1,1,70.0,2.75,,2545.0,1.0,0,,,,1,1,1,1,0,0,0,1
5,HeadAndHeart,Season 1,2,5,2021-12-20,2022-02-04,2021-12-21,"Insaan, Ideas Aur Sapne",Rannvijay Singh,Children/Education,Brain Development Course,https://thehnh.in/,2015,4,1.0,3.0,,1,,Patiala,Punjab,30.0,,,,,,,0,0,0,50.0,5.0,1000.0,0,,,,,,,0,,,,1,1,1,1,0,0,0,1
6,Agritourism,Season 1,2,6,2021-12-20,2022-02-04,2021-12-21,"Insaan, Ideas Aur Sapne",Rannvijay Singh,Agriculture,Tourism,https://www.agritourism.in/,2005,2,1.0,1.0,,1,,Baramati,Maharashtra,79.0,,,,,,,0,0,0,50.0,5.0,1000.0,0,,,,,,,0,,,,1,1,1,1,0,0,0,1
7,qZenseLabs,Season 1,3,7,2021-12-20,2022-02-04,2021-12-22,Aam Aadmi Ke Business Ideas,Rannvijay Singh,Food and Beverage,Food Freshness Detector,https://www.qzense.com/,2020,2,,2.0,,0,,"Delhi,Mohali","Delhi,Punjab",25.0,15.0,,,,,,1,0,0,100.0,0.25,40000.0,1,0,,,,,,0,,,,1,1,1,1,0,0,0,1
8,Peeschute,Season 1,3,8,2021-12-20,2022-02-04,2021-12-22,Aam Aadmi Ke Business Ideas,Rannvijay Singh,Beauty/Fashion,Disposable Urine Bag,https://www.peeschute.com/,2019,1,1.0,,,0,,Jalna,Maharashtra,100.0,,,,,,2.0,0,0,0,75.0,4.0,1875.0,1,1,75.0,6.0,,1250.0,1.0,0,,,,1,1,1,1,0,0,0,1
9,NOCD,Season 1,3,9,2021-12-20,2022-02-04,2021-12-22,Aam Aadmi Ke Business Ideas,Rannvijay Singh,Food and Beverage,Energy Drink,https://www.jouleshealth.com/,2019,2,2.0,,,0,,Bangalore,Karnataka,,20.0,,,,,,0,0,0,50.0,2.0,2500.0,1,1,20.0,15.0,30.0,133.0,1.0,1,,,,1,1,1,1,0,0,0,1
10,CosIQ,Season 1,4,10,2021-12-20,2022-02-04,2021-12-23,Entrepreneurship Ki Wave,Rannvijay Singh,Beauty/Fashion,Intelligent Skincare,https://mycosiq.com/,2021,2,1.0,1.0,,1,,Delhi,Delhi,0.0,4.0,75.0,20.0,,,8.0,0,0,0,50.0,7.5,667.0,1,1,50.0,25.0,,200.0,2.0,0,,,,1,1,1,1,0,0,0,1
